Time,CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ROOMX1::Des Sens Cool Load [W],CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ROOMX1::Des Cool Mass Flow [kg/s],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ENTRANCE::Des Sens Cool Load [W],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ENTRANCE::Des Cool Mass Flow [kg/s],CELLS:ROOMX2::Des Heat Load [W],CELLS:ROOMX2::Des Sens Cool Load [W],CELLS:ROOMX2::Des Heat Mass Flow [kg/s],CELLS:ROOMX2::Des Cool Mass Flow [kg/s]
13:40:00,4.331499E+02,0.000000E+00,2.202518E-02,0.000000E+00,6.489716E+02,0.000000E+00,4.180423E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13:50:00,4.331506E+02,0.000000E+00,2.202521E-02,0.000000E+00,6.489861E+02,0.000000E+00,4.180516E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14:00:00,4.331514E+02,0.000000E+00,2.202525E-02,0.000000E+00,6.490006E+02,0.000000E+00,4.180610E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14:10:00,4.331522E+02,0.000000E+00,2.202529E-02,0.000000E+00,6.490150E+02,0.000000E+00,4.180703E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14:20:00,4.331529E+02,0.000000E+00,2.202533E-02,0.000000E+00,6.490294E+02,0.000000E+00,4.180795E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14:30:00,4.331537E+02,0.000000E+00,2.202537E-02,0.000000E+00,6.490438E+02,0.000000E+00,4.180888E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14:40:00,4.331544E+02,0.000000E+00,2.202541E-02,0.000000E+00,6.490581E+02,0.000000E+00,4.180980E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14:50:00,4.331552E+02,0.000000E+00,2.202545E-02,0.000000E+00,6.490724E+02,0.000000E+00,4.181073E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
15:00:00,4.331559E+02,0.000000E+00,2.202548E-02,0.000000E+00,6.490867E+02,0.000000E+00,4.181165E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
15:10:00,4.331567E+02,0.000000E+00,2.202552E-02,0.000000E+00,6.491010E+02,0.000000E+00,4.181256E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
15:20:00,4.331574E+02,0.000000E+00,2.202556E-02,0.000000E+00,6.491152E+02,0.000000E+00,4.181348E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
15:30:00,4.331581E+02,0.000000E+00,2.202560E-02,0.000000E+00,6.491293E+02,0.000000E+00,4.181439E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
15:40:00,4.331589E+02,0.000000E+00,2.202563E-02,0.000000E+00,6.491435E+02,0.000000E+00,4.181530E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
15:50:00,4.331596E+02,0.000000E+00,2.202567E-02,0.000000E+00,6.491576E+02,0.000000E+00,4.181621E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
16:00:00,4.331604E+02,0.000000E+00,2.202571E-02,0.000000E+00,6.491717E+02,0.000000E+00,4.181712E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
16:10:00,4.331611E+02,0.000000E+00,2.202575E-02,0.000000E+00,6.491857E+02,0.000000E+00,4.181802E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
